ID,Country,Data,Value,Mesh,FlagMaterial,lon,lat,x,y,z
260,Algeria,Carbon,3.33,carbon_mesh,algeria_flag.algeria_flag,3.082667,36.726017,5117.13794186,275.581743556,3823.34530068
4,Argentina,Carbon,4.47,carbon_mesh,argentina_flag,-58.381592,-34.603722,2758.98199877,-4481.4344713,-3630.94735731
9,Australia,Carbon,16.93,carbon_mesh,australia_flag,149.082977,-35.343784,-4474.26097049,2679.5957585,-3698.61739581
280,Bangladesh,Carbon,0.37,carbon_mesh,bangladesh_flag,90.393791,23.728783,-40.2281058736,5853.01439524,2572.86212033
14,Brazil,Carbon,2.15,carbon_mesh,brazil_flag,-46.62529,-23.533773,4025.74120502,-4260.86770709,-2552.92566177
313,Canada,Carbon,14.68,carbon_mesh,canada_flag,-75.692482,-75.692482,390.469980554,-1531.03539196,-6195.35948307
319,Chad,Carbon,0.04,carbon_mesh,chad_flag,15.0444,12.10672,6037.19687244,1622.67734358,1340.96512396
322,Chile,Carbon,4.21,carbon_mesh,chile_flag,-70.673676,-33.447487,1765.5488199,-5034.20020291,-3524.01489543
19,China,Carbon,6.19,carbon_mesh,china_flag,116.363625,39.913818,-2177.70692068,4393.96423959,4102.40004516
325,Colombia,Carbon,1.63,carbon_mesh,columbia_flag,-74.063644,4.624335,1749.79158714,-6127.93057227,515.472215282
358,Egypt,Carbon,2.62,carbon_mesh,egypt_flag,31.340002,30.044281,4727.08628957,2878.63576635,3201.11334341
366,Ethiopia,Carbon,0.07,carbon_mesh,ethiopia_flag,38.763611,9.005401,4923.92139168,3953.78825779,1000.7856128
372,France,Carbon,5.56,carbon_mesh,france_flag,2.349014,48.864716,4202.47228989,172.389675825,4815.44637122
378,Germany,Carbon,9.11,carbon_mesh,germany_flag,13.404954,52.520008,3784.45608579,901.930409246,5073.79827873
24,India,Carbon,1.67,carbon_mesh,india_flag,77.216721,28.6448,1241.5424188,5472.0606824,3064.98607046
402,Indonesia,Carbon,1.8,carbon_mesh,indonesia_flag,107.60981,-6.914744,-1920.22740224,6049.72966741,-769.748645093
405,Iran,Carbon,7.68,carbon_mesh,iran_flag,51.404343,35.715298,3238.37478379,4057.27274175,3732.35608704
414,Israel,Carbon,9.27,carbon_mesh,israel_flag,35.217018,31.771959,4440.72695438,3134.56402427,3366.52161675
423,Japan,Carbon,9.19,carbon_mesh,japan_flag,139.839478,35.652832,-3970.43138573,3350.58800988,3726.69423228
426,Jordan,Carbon,3.44,carbon_mesh,jordan_flag,35.930359,31.963158,4392.23679263,3182.9973469,3384.64165737
432,Kenya,Carbon,0.3,carbon_mesh,kenya_flag,36.87426,-1.291514,5113.34452701,3835.61673778,-144.108607072
442,Kuwait,Carbon,31.32,carbon_mesh,kuwait_flag,47.990341,29.378586,3728.70974918,4139.7480416,3136.59450042
468,Malaysia,Carbon,7.67,carbon_mesh,malaysia_flag,101.68653,3.1412,-1293.13727472,6251.72489868,350.352795859
478,Mexico,Carbon,3.76,carbon_mesh,mexico_flag,-99.133209,19.432608,-957.055884141,-5953.003256,2127.16044773
485,Mongolia,Carbon,4.24,carbon_mesh,mongolia_flag,106.918556,47.92123,-1246.90762762,4099.28275796,4745.53659138
514,Nigeria,Carbon,0.49,carbon_mesh,nigeria_flag,7.491302,9.072264,6259.7973145,823.151207405,1008.15424059
436,North Korea,Carbon,2.92,carbon_mesh,north_korea_flag,125.75432,39.03385,-2901.94290341,4030.41205762,4026.60171022
522,Pakistan,Carbon,0.93,carbon_mesh,pakistan_flag,73.084488,33.738045,1547.00689028,5086.84753989,3551.02338616
534,Peru,Carbon,1.97,carbon_mesh,peru_flag,-77.042793,-12.046374,1402.03997467,-6093.66301444,-1334.38010986
537,Philippines,Carbon,0.87,carbon_mesh,phillipines_flag,120.984222,14.599512,-3185.19677464,5304.36579551,1611.59558076
540,Poland,Carbon,8.31,carbon_mesh,poland_flag,21.017532,52.237049,3654.96526299,1404.29304758,5054.52324799
552,Russian Federation,Carbon,12.23,carbon_mesh,russia_flag,37.618423,55.751244,2850.1693006,2196.38616502,5285.02015831
558,Saudi Arabia,Carbon,17.04,carbon_mesh,saudi_arabia_flag,46.738586,24.774265,3978.48955626,4227.57112504,2679.23095964
567,Singapore,Carbon,2.66,carbon_mesh,singapore_flag,103.851959,1.29027,-1530.34621648,6206.15246745,143.969823608
438,South Korea,Carbon,11.49,carbon_mesh,south_korea_flag,127.024612,37.5326,-3053.0760934,4047.94982143,3895.10512216
583,Sri Lanka,Carbon,0.62,carbon_mesh,sri_lanka_flag,79.861244,6.927079,1117.27889173,6247.88641902,771.115085293
595,Syria,Carbon,2.87,carbon_mesh,syria_flag,36.278336,33.510414,4297.55574475,3154.36747701,3529.87191587
604,Thailand,Carbon,4.45,carbon_mesh,thailand_flag,100.523186,13.736717,-1134.29823377,6106.33392082,1518.24532471
615,Turkey,Carbon,4.13,carbon_mesh,turkey_flag,28.97953,41.015137,4220.2243546,2337.33792364,4195.89956138
624,Ukraine,Carbon,6.64,carbon_mesh,ukraine_flag,30.5238,50.45466,3506.64161736,2067.53227616,4930.29311057
630,United Kingdom,Carbon,7.86,carbon_mesh,united_kingdom_flag,-0.118092,51.509865,3979.28308097,-8.20168897287,5004.42346285
29,United States,Carbon,17.56,carbon_mesh,united_states_flag,-77.009003,38.889931,1118.71492482,-4849.1628984,4014.11402472
641,Venezuela,Carbon,6.95,carbon_mesh,venezuela_flag,-66.916664,10.5,2464.7874866,-5783.27368942,1165.15380134
654,Zimbabwe,Carbon,0.72,carbon_mesh,zimbabwe_flag,31.053028,-17.824858,5214.46160254,3139.73670279,-1957.15582786
32,Algeria,Fossil Fuels,80075365,fossil_fuels_mesh,algeria_flag.algeria_flag,3.082667,36.726017,5117.13794186,275.581743556,3823.34530068
1,Argentina,Fossil Fuels,8864,fossil_fuels_mesh,argentina_flag,-58.381592,-34.603722,2758.98199877,-4481.4344713,-3630.94735731
6,Australia,Fossil Fuels,459702890,fossil_fuels_mesh,australia_flag,149.082977,-35.343784,-4474.26097049,2679.5957585,-3698.61739581
37,Bangladesh,Fossil Fuels,101568,fossil_fuels_mesh,bangladesh_flag,90.393791,23.728783,-40.2281058736,5853.01439524,2572.86212033
11,Brazil,Fossil Fuels,38551698,fossil_fuels_mesh,brazil_flag,-46.62529,-23.533773,4025.74120502,-4260.86770709,-2552.92566177
45,Canada,Fossil Fuels,280114560,fossil_fuels_mesh,canada_flag,-75.692482,-75.692482,390.469980554,-1531.03539196,-6195.35948307
46,Chile,Fossil Fuels,1715726,fossil_fuels_mesh,chile_flag,-70.673676,-33.447487,1765.5488199,-5034.20020291,-3524.01489543
16,China,Fossil Fuels,40425847,fossil_fuels_mesh,china_flag,116.363625,39.913818,-2177.70692068,4393.96423959,4102.40004516
47,Colombia,Fossil Fuels,132700223,fossil_fuels_mesh,columbia_flag,-74.063644,4.624335,1749.79158714,-6127.93057227,515.472215282
56,Egypt,Fossil Fuels,11868536,fossil_fuels_mesh,egypt_flag,31.340002,30.044281,4727.08628957,2878.63576635,3201.11334341
59,France,Fossil Fuels,25773399,fossil_fuels_mesh,france_flag,2.349014,48.864716,4202.47228989,172.389675825,4815.44637122
