id,Country,material,export,mesh,tonnes,lon,lat,x,y,z
42,Argentina,argentina_flag,Biomass,biomass_mesh,80395078,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
43,Argentina,argentina_flag,Coal,coal_mesh,8864,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
44,Argentina,argentina_flag,Crops,crops_mesh,79037799,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
45,Argentina,argentina_flag,Ferrous ores,default_mesh,2079009,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
46,Argentina,argentina_flag,Fossil Fuels,default_mesh,8864,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
47,Argentina,argentina_flag,Grazed biomass and fodder crops,default_mesh,61417,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
48,Argentina,argentina_flag,Metal ores,metal_ores_mesh,2844083,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
49,Argentina,argentina_flag,Non-ferrous ores,default_mesh,765075,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
50,Argentina,argentina_flag,Non-metallic minerals,default_mesh,1491701,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
51,Argentina,argentina_flag,Non-metallic minerals - construction dominant,default_mesh,1191915,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
52,Argentina,argentina_flag,Non-metallic minerals - industrial or agricultural dominant,default_mesh,299786,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
53,Argentina,argentina_flag,Wild catch and harvest,default_mesh,495811,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
54,Argentina,argentina_flag,Wood,wood_mesh,800051,-58.381592,-34.603722,2757.413,-4478.886,-3604.608
65,Australia,australia_flag,Biomass,biomass_mesh,49691338,149.082977,-35.343784,-4471.898,2678.181,-3671.937
66,Australia,australia_flag,Coal,coal_mesh,419512971,149.082977,-35.343784,-4471.898,2678.181,-3671.937
67,Australia,australia_flag,Crop Residues,default_mesh,185081,149.082977,-35.343784,-4471.898,2678.181,-3671.937
68,Australia,australia_flag,Crops,crops_mesh,38742320,149.082977,-35.343784,-4471.898,2678.181,-3671.937
69,Australia,australia_flag,Ferrous ores,default_mesh,871474234,149.082977,-35.343784,-4471.898,2678.181,-3671.937
70,Australia,australia_flag,Fossil Fuels,default_mesh,459702890,149.082977,-35.343784,-4471.898,2678.181,-3671.937
71,Australia,australia_flag,Grazed biomass and fodder crops,default_mesh,64016,149.082977,-35.343784,-4471.898,2678.181,-3671.937
72,Australia,australia_flag,Metal ores,metal_ores_mesh,932266294,149.082977,-35.343784,-4471.898,2678.181,-3671.937
73,Australia,australia_flag,Natural Gas,default_mesh,27658768,149.082977,-35.343784,-4471.898,2678.181,-3671.937
74,Australia,australia_flag,Non-ferrous ores,default_mesh,60792060,149.082977,-35.343784,-4471.898,2678.181,-3671.937
